Deal Date,Deal Sub-Category,Acquirer Company / Merger Participant 1,Target Company / Merger Participant 2,Deal Value,Deal Headline
1/20/2015,Exit,--,"K2M, LLC",,"Welsh, Carson, Anderson & Stowe XI and Ferrer Freeman & Company to sell stake in K2M Group Holdings through public offering",
1/16/2015,Majority Acquisition,"Roche Holding, Ltd.",Trophos SA,550.70 ,Roche to acquire Trophos,
1/16/2015,Exit,"Roche Holding, Ltd.",Trophos SA,,Consortium of investors to sell Trophos to Roche,
2/24/2010,100% Acquisition,"Proteonomix, Inc.","StromaCel, Inc.",0.00 ,Proteonomix acquires StromaCel,
1/15/2015,"DIRECT INVESTMENT,Minority Acquisition","Crestline Investors, Inc.|Harbert Venture Partners LP|Hatteras Venture Partners (formerly Catalysta Ventures)|Mario Family Funds|Morgan Stanley Expansion Capital|Virgo Investment Group, LLC","Clinipace Worldwide (formerly Clinipace, Inc.)",50.00 ,Clinipace Worldwide raises $50 million in financing,
12/31/2009,100% Acquisition,Simcere Pharmaceutical Group,ChinaVax,0.00 ,Simcere Pharmaceutical acquires ChinaVax,
1/15/2015,Asset Purchase,"Paragon Medical, Inc.",Michael Bubolz GmbH - Medical device business,,Paragon Medical to acquire medical device business segment of Michael Bubolz,
1/14/2015,"DIRECT INVESTMENT,Minority Acquisition",Imperial Innovations Group PLC|INVESCO Asset Management Limited|Seroba Kernel Life Sciences Limited|Seven Mile Capital Partners,"Veryan Holdings, Ltd.",27.30 ,Veryan Holdings raises $27.282 million in Series B financing,
1/14/2015,--,--,"Regado Biosciences, Inc.|Tobira Therapeutics, Inc.",,Regado Biosciences to merge with Tobira Therapeutics,
1/13/2015,"DIRECT INVESTMENT,Minority Acquisition","Auriga Partners|Care Capital, LLC|Domain Associates, LLC|Novo Ventures|Pappas Ventures (A. M. Pappas &amp; Associates, LLC)|Pearl Street Venture Funds|Triathlon Medical Ventures|TVM Capital Life Science","CoLucid Pharmaceuticals, Inc.",37.10 ,CoLucid Pharmaceuticals closes $37.1 million Series C financing,
6/18/2009,100% Acquisition,"Paladin Labs, Inc.","Isotechnika, Inc.",0.00 ,Paladin Labs acquires 100% of Isotechnika,
1/13/2015,Exit,"Otsuka Pharmaceutical Co., Ltd.","AVANIR Pharmaceuticals, Inc.","1,495.20 ","Baker Brother, T. Rowe Price, and Fidelity Management sell stake in Avanir Pharmaceuticals to Otsuka Pharmaceutical",
